"english_word","french_word","chinese_gloss","lexical_pair_type","semantic_overlap_score","false_friend_risk","default_context_support","difficulty_level","notes","source","source_code","content_version","word_id","active","tags","knowledge_status","embedding_status"
"succeed","succéder","继任; 接连发生","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0001","true","false-friend|tem4|lexi-bridge","ready","pending"
"plume","plume","羽毛; 钢笔","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0002","true","false-friend|tem4|lexi-bridge","ready","pending"
"chance","chance","机会; 幸运","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0003","true","false-friend|tem4|lexi-bridge","ready","pending"
"formal","formel","断然的; 正式的; 郑重的","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0004","true","false-friend|tem4|lexi-bridge","ready","pending"
"formally","formellement","断然地; 明确地","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0005","true","false-friend|tem4|lexi-bridge","ready","pending"
"form","forme","形状; 状态; 礼节; 班级; 长凳; 表格","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0006","true","false-friend|tem4|lexi-bridge","ready","pending"
"portable","portable","便携的; 可穿戴的","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0007","true","false-friend|tem4|lexi-bridge","ready","pending"
"pavilion","pavillon","小屋; 门房; 郊区住宅","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0008","true","false-friend|tem4|lexi-bridge","ready","pending"
"surname","surnommer","给人起绰号","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0009","true","false-friend|tem4|lexi-bridge","ready","pending"
"compensate","compenser","弥补; 抵消; 调整","false_friend","0.20","0.90","high","4","Two visual source records","Kirk-Greene and TEM4","LEXI_BRIDGE_FF4","FF4_V1","LEXI_BRIDGE_FF4-0010","true","false-friend|tem4|lexi-bridge","ready","pending"
