"priority","risk_score","item_code","question_type","word_id","french_word","chinese_gloss","source_flags","false_friends_page_evidence","original_source_claim","applied_false_claim","review_rationale","false_friends_pdf_page","tem4_pdf_page","pedagogic_decision","reviewer_notes"
"CRITICAL","8","FF4Q-0183","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0183","salaire","工资","TRUE_FALSE_TEMPLATE_FALLBACK|SOURCE_MEANINGS_EQUAL","中部；salaire 比 salary 义窄；wages=traitement/appointements。","工资","大胆的; 勇敢的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct. The two source-derived meaning fields are identical after punctuation normalization. Confirm whether this record belongs in a false-friends instrument.","172","143","PENDING_HUMAN_REVIEW",""
"CRITICAL","8","FF4Q-0319","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0319","général","将军; 一般的","TRUE_FALSE_TEMPLATE_FALLBACK|SOURCE_MEANINGS_EQUAL","页末；général 的翻译需谨慎，少量不太可能的直译会出错；la générale 指将军之妻。","将军; 一般的","激发; 吸入","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct. The two source-derived meaning fields are identical after punctuation normalization. Confirm whether this record belongs in a false-friends instrument.","89","251","PENDING_HUMAN_REVIEW",""
"CRITICAL","6","FF4Q-0071","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0071","monter","上升; 登上; 爬上; 安装; 搬上","TRUE_FALSE_TEMPLATE_FALLBACK|HIGH_POLYSEMY","中部；monter 为 mount/come up/climb，也可安装、搬上。","登上; 山","翻到反面; 翻土; 返回; 推翻","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct. The French gloss lists 5 senses; verify that the question and distractors test a bounded intended sense.","125","57","PENDING_HUMAN_REVIEW",""
"CRITICAL","6","FF4Q-0355","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0355","relation","关系; 叙述; 熟人; 联系; 铁路/道路班次","TRUE_FALSE_TEMPLATE_FALLBACK|HIGH_POLYSEMY","中部；relation 有关系、叙述、熟人/联系及铁路道路班次等义；relations=parents/parenté。","关系; 亲属","拥有; 精通","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct. The French gloss lists 5 senses; verify that the question and distractors test a bounded intended sense.","163","271","PENDING_HUMAN_REVIEW",""
"CRITICAL","6","FF4Q-0383","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0383","passer","经过; 参加考试; 通过考试; 升职; 忽略; 越过","TRUE_FALSE_TEMPLATE_FALLBACK|HIGH_POLYSEMY","下部；passer 为 pass，并有考试、升职、忽略、越过等特定用法；通过考试=réussir à un examen。","经过; 通过","法典; 公路法规; 灯光信号","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct. The French gloss lists 6 senses; verify that the question and distractors test a bounded intended sense.","138","303","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0003","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0003","chance","机会; 幸运","TRUE_FALSE_TEMPLATE_FALLBACK","下部；chance includes likelihood/luck; opportunity usually occasion。","机会","断然的; 正式的; 郑重的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","34","9","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0007","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0007","portable","便携的; 可穿戴的","TRUE_FALSE_TEMPLATE_FALLBACK","下部粗体词头；portable 为 portable，也可指可穿戴；portable（相对）=portatif。","便携的","小屋; 门房; 郊区住宅","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","148","11","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0019","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0019","imaginer","想象; 构思; 发明; 臆想","TRUE_FALSE_TEMPLATE_FALLBACK","中部；imaginer 可为 imagine，也指 invent/think up；imaginer de faire 指一时想到或臆想要做。","想象","傻瓜","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","98","20","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0023","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0023","secrétaire","秘书; 翻盖写字台","TRUE_FALSE_TEMPLATE_FALLBACK","下部；secrétaire 也指带翻盖的写字台。","秘书","解雇; 裁员","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","174","26","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0035","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0035","herbe","草本植物; 香草; 野餐; 杂草","TRUE_FALSE_TEMPLATE_FALLBACK","下部；herbe 为 herb，fines herbes 指香草；faire de l'herbe 为委婉说野餐，mauvaise herbe 为杂草。","香草","尊敬; 认为; 考虑","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","95","39","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0055","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0055","public","公共的; 国立的; 妓院（特定表达）","TRUE_FALSE_TEMPLATE_FALLBACK","页末粗体词头；public/publique 不总等同英语 public：école publique 为国立学校，maison publique 为妓院；public school=collège privé。","公共的; 公众","喊叫","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","154","48","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0059","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0059","regretter","后悔; 想念","TRUE_FALSE_TEMPLATE_FALLBACK","页末；regretter 不仅为后悔，也指想念。","后悔","共同的; 普通的; 劣质的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","162","52","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0063","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0063","cité","城市; 大学生宿舍区; 工人住宅区","TRUE_FALSE_TEMPLATE_FALLBACK","页末；cité can be smaller than city, student hostel or housing estate。","城市","错过; 失败","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","37","53","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0075","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0075","humain","人的; 人道的","TRUE_FALSE_TEMPLATE_FALLBACK","下部；humain 同时覆盖 human 和 humane。","人道的","收入; 票房收入; 食谱","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","96","59","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0079","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0079","sens","意义; 方向; 上下颠倒","TRUE_FALSE_TEMPLATE_FALLBACK","下部；sens 为 sense，也指方向，sens dessus dessous 表示上下颠倒/混乱。","感觉; 意义","货币; 纸币; 硬币; 零钱; 常规做法","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","175","60","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0083","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0083","couvert","餐具; 餐位; 服务费; 遮盖","TRUE_FALSE_TEMPLATE_FALLBACK","上部；couvert cover/shelter/protection, table cutlery/place setting/cover charge; cover often couverture。","封面; 遮盖","看台; 教堂走廊; 讲台; 管风琴阁","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","50","62","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0087","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0087","réformer","改革; 退伍; 淘汰","TRUE_FALSE_TEMPLATE_FALLBACK","中部；réformer 可改革，也指军人退伍或物品淘汰；to reform someone=corriger。","改革; 改良","音色; 小铃; 印章; 邮票","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","162","64","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0091","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0091","excéder","使厌烦; 使恼怒; 超过","TRUE_FALSE_TEMPLATE_FALLBACK","中部；excéder 可为 exceed，也表示 tire out/upset。","超过","领带","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","75","67","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0095","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0095","industrie","工业; 技艺; 勤奋","TRUE_FALSE_TEMPLATE_FALLBACK","中下部；industrie 为现代 industry，也保留 skill/activity 旧义；industrious=hard work/application，tycoon=brasseur d'affaires/magnat。","工业; 勤奋","天才; 精灵; 工程兵","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","102","71","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0099","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0099","familier","熟悉的; 宠物的","TRUE_FALSE_TEMPLATE_FALLBACK","页首；familier 为 familiar，un animal familier 指 pet。","熟悉的","栏目; 标题","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","79","77","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0103","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0103","merci","谢谢; 怜悯","TRUE_FALSE_TEMPLATE_FALLBACK","中下部；merci 为谢谢，作阴性名词则为怜悯/恩典。","怜悯","抱怨; 索要; 要求","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","122","78","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0107","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0107","monument","纪念碑; 历史建筑; 名胜建筑","TRUE_FALSE_TEMPLATE_FALLBACK","中部；monument 为 monument，也可指历史建筑或有特殊价值的建筑。","纪念碑","实际的; 真实的; 生效的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","125","82","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0111","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0111","détail","细节; 零售","TRUE_FALSE_TEMPLATE_FALLBACK","上部；détail Detail, and also retail。","细节","严肃的; 可靠的; 认真负责的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","62","84","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0115","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0115","souvenir","记忆; 纪念品","TRUE_FALSE_TEMPLATE_FALLBACK","中上部；souvenir 同时可指记忆和纪念品。","纪念品","行进; 步行; 运转; 进行","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","180","86","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0127","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0127","toucher","触摸; 涉及; 领到钱; 抽取配给","TRUE_FALSE_TEMPLATE_FALLBACK","上部；toucher à 为干涉；toucher quelqu’un 可指接触人或（口语）拿钱。","触摸; 接触","非常好的; 可怕的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","190","96","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0131","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0131","port","港口; 穿戴方式; 波特酒; 避风处","TRUE_FALSE_TEMPLATE_FALLBACK","下部粗体词头；port 为港口，也指穿戴方式，port（酒）=porto，避风处=abri。","港口; 端口","磨损; 消耗","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","148","98","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0135","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0135","carte","卡片; 地图; 菜单","TRUE_FALSE_TEMPLATE_FALLBACK","上部；carte (f) Card, map and menu; Cart = charrette。","卡片","有礼貌的; 抛光的","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","32","100","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0139","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0139","mandat","委任; 汇票; 授权","TRUE_FALSE_TEMPLATE_FALLBACK","中下部；mandat 为 mandate，也可指汇票；bearrant=garant。","授权; 任期","神圣的; 该死的（加强/贬义）","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","118","107","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0143","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0143","original","原件; 怪人","TRUE_FALSE_TEMPLATE_FALLBACK","下部；original 指文本、艺术品等原件，也可指怪人、怪才。","原件; 原创的","镶板; 围栏; 路标; 陷阱","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","133","108","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0147","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0147","mouvement","运动; 冲动; 反应; 怒火爆发","TRUE_FALSE_TEMPLATE_FALLBACK","页末；mouvement 为 movement，也可指冲动、反应；mouvement de colère 指怒火爆发。","运动; 动作","体育教练; 辅导员; 夏令营工作人员","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","126","109","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0151","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0151","château","城堡; 宫殿; 乡间大宅; 水塔","TRUE_FALSE_TEMPLATE_FALLBACK","中上部；château (m) castle/palace/country mansion; château d'eau water-tower。","城堡","装载; 使负担; 索价; （法律）控告","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","36","111","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0155","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0155","prétendre","要求; 声称","TRUE_FALSE_TEMPLATE_FALLBACK","下中部粗体词头；prétendre 是易误导词，通常为要求或声称；to pretend=faire semblant de。","假装; 声称","印象; 印刷; 错印","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","151","113","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0175","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0175","superbe","极好的; 傲慢的","TRUE_FALSE_TEMPLATE_FALLBACK","中部；旧/文学用法亦可表示傲慢。","极好的","省; 外省; 乡下（相对巴黎）","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","184","136","PENDING_HUMAN_REVIEW",""
"CRITICAL","4","FF4Q-0187","TRUE_FALSE_WITH_JUSTIFICATION","LEXI_BRIDGE_FF4-0187","flatter","奉承; 取悦; 抚摸","TRUE_FALSE_TEMPLATE_FALLBACK","下部；flatter 为 flatter/please/gratify，亦为 pat/stroke。","奉承","领地; 地产; 领域; 国家财产","The source confusable claim shared a verified French meaning, so the generated false claim was replaced. Confirm the item still measures the intended construct.","82","147","PENDING_HUMAN_REVIEW",""
