english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
coin,coin,硬币；角落,false_friend,0.10,0.92,high,4,英法同形但核心义项错位,llm_v2_human_reviewed,true,false-friend|high-risk|context,ready,pending,a piece of money,corner,硬币；角落,I found a coin on the floor.,Il attend au coin de la rue.,我在地上捡到一枚硬币；他在街角等。,high
actually,actuellement,实际上；目前,false_friend,0.18,0.88,high,4,英文熟词义会干扰法语当前义,llm_v2_human_reviewed,true,false-friend|high-risk|context,ready,pending,in fact,at the present time,实际上；目前,Actually I do not agree.,Actuellement il habite à Paris.,实际上我不同意；目前他住在巴黎。,high
library,librairie,图书馆；书店,false_friend,0.08,0.94,high,4,教学中非常典型的假朋友,llm_v2_human_reviewed,true,false-friend|high-frequency|b1-b2,ready,pending,a place where people borrow books,bookshop,图书馆；书店,The library closes at six.,La librairie ouvre à neuf heures.,图书馆六点关门；书店九点开门。,high
deception,déception,欺骗；失望,false_friend,0.05,0.95,high,5,拼写接近但语义差异很大,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,deliberate cheating,disappointment,欺骗；失望,The deception was deliberate.,La déception était profonde.,这种欺骗是故意的；这种失望很深。,high
sensible,sensible,理智的；敏感的,false_friend,0.15,0.89,medium,4,英语理智义容易负迁移到法语,llm_v2_human_reviewed,true,false-friend|b1-b2|adjective,ready,pending,reasonable and practical,sensitive,理智的；敏感的,That was a sensible choice.,Elle est sensible au bruit.,那是个理智的选择；她对噪音很敏感。,medium
location,location,地点；租赁,false_friend,0.12,0.90,medium,4,英语地点义容易误导法语租赁义,llm_v2_human_reviewed,true,false-friend|b1-b2|noun,ready,pending,a place,rental,地点；租赁,The location is convenient.,La location coûte cher.,这个地点很方便；这项租赁很贵。,medium
pain,pain,疼痛；面包,false_friend,0.00,0.97,high,4,同形高风险词对,llm_v2_human_reviewed,true,false-friend|high-risk|a1-a2,ready,pending,physical suffering,bread,疼痛；面包,The pain lasted all night.,Le pain est encore chaud.,这种疼痛持续了一整夜；面包还是热的。,high
stage,stage,舞台；阶段；实习,false_friend,0.14,0.91,medium,4,法语常用义为实习而非舞台,llm_v2_human_reviewed,true,false-friend|b1-b2|education,ready,pending,a platform or phase,internship,舞台；阶段；实习,She walked onto the stage.,Il commence un stage en juin.,她走上舞台；他六月开始实习。,medium
lecture,lecture,讲座；阅读,false_friend,0.09,0.93,medium,4,同形词但核心义明显错位,llm_v2_human_reviewed,true,false-friend|b1-b2|education,ready,pending,a formal talk,reading,讲座；阅读,The lecture starts at ten.,La lecture de ce texte est difficile.,讲座十点开始；这篇文章阅读起来很难。,medium
eventually,éventuellement,最终；可能,false_friend,0.11,0.90,high,5,英语最终义强烈干扰法语可能义,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,in the end,possibly if necessary,最终；可能,Eventually they agreed.,Éventuellement nous pourrons reporter la réunion.,最终他们同意了；必要时我们可以推迟会议。,high
table,table,桌子,cognate,0.95,0.08,low,1,高频基础同源词,llm_v2_human_reviewed,true,cognate|high-frequency|a1,ready,pending,a piece of furniture with a flat top,a table,桌子,The books are on the table.,Les livres sont sur la table.,书在桌子上。,medium
important,important,重要的,cognate,0.97,0.06,low,1,稳定正迁移词对,llm_v2_human_reviewed,true,cognate|high-frequency|a1,ready,pending,of great significance,important,重要的,It is an important decision.,C'est une décision importante.,这是一个重要决定。,medium
nation,nation,国家；民族,cognate,0.94,0.12,low,2,拼写和意义高度重合,llm_v2_human_reviewed,true,cognate|b1|social,ready,pending,a country or people sharing identity,nation,国家；民族,The nation faced a crisis.,La nation défend ses valeurs.,这个国家面临危机；这个民族捍卫自己的价值观。,medium
culture,culture,文化,cognate,0.96,0.07,low,1,适合正迁移强化,llm_v2_human_reviewed,true,cognate|high-frequency|a2,ready,pending,the ideas and customs of a society,culture,文化,Culture shapes behavior.,La culture influence le langage.,文化塑造行为；文化影响语言。,medium
journal,journal,期刊；日报；日志,partial_cognate,0.46,0.62,medium,3,共享书面记录概念但常用义分化,llm_v2_human_reviewed,true,partial-cognate|b2|media,ready,pending,a magazine or academic periodical,newspaper,期刊；日报；日志,She published an article in a journal.,Il lit le journal chaque matin.,她在期刊上发表了一篇文章；他每天早上读报。,medium
