"word_id","french_word","english_word","chinese_gloss","false_friend_meanings","tem4_pdf_page","false_friend_pdf_page","unit","source_code","content_version","review_state"
"LEXI_BRIDGE_FF4-0001","succéder","succeed","继任; 接连发生","成功; 继任","9","183","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0002","plume","plume","羽毛; 钢笔","羽毛; 羽饰","9","147","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0003","chance","chance","机会; 幸运","机会","9","34","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0004","formel","formal","断然的; 正式的; 郑重的","正式的","10","84","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0005","formellement","formally","断然地; 明确地","正式地","11","84","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0006","forme","form","形状; 状态; 礼节; 班级; 长凳; 表格","形式; 表格","11","84","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0007","portable","portable","便携的; 可穿戴的","便携的","11","148","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0008","pavillon","pavilion","小屋; 门房; 郊区住宅","亭子; 展馆","13","140","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0009","surnommer","surname","给人起绰号","给姓氏; 姓氏","13","185","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0010","compenser","compensate","弥补; 抵消; 调整","补偿","13","41","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0011","vexer","vex","使不快; 冒犯; 伤害","使恼火","14","199","JOUR 1","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0012","vice","vice","缺点; 毛病; 钳子","恶习; 副职","16","199","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0013","plateau","plateau","高原; 托盘","高原; 平台期","16","146","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0014","mode","mode","时尚; 衣着时尚","方式; 模式","17","124","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0015","déranger","derange","打扰; 扰乱; 弄乱; 肠胃不适","使精神错乱","17","60","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0016","prier","pray","祈祷; 请求; 恳求","祈祷","19","152","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0017","timide","timid","羞怯的; 腼腆的","胆小的","19","189","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0018","diffuser","diffuse","传播; 广播; 发行","扩散的","19","63","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0019","imaginer","imagine","想象; 构思; 发明; 臆想","想象","20","98","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0020","sot","sot","傻瓜","盐酸盐","21","180","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0021","peine","pain","苦恼; 辛劳; 麻烦; 刑罚","身体疼痛","21","140","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0022","verger","verger","果园","执达员","22","198","JOUR 2","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0023","secrétaire","secretary","秘书; 翻盖写字台","秘书","26","174","JOUR 3","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0024","licencier","license","解雇; 裁员","许可","27","113","JOUR 3","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0025","turbulent","turbulent","不守规矩的; 吵闹的","湍流的; 动荡的","27","194","JOUR 3","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0026","utilitaire","utilitarian","商用的; 功利的","功利主义的","27","196","JOUR 3","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0027","enquête","inquest","调查; 查问","死因调查","28","72","JOUR 3","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0028","installer","install","安装; 安置; 布置房间; 显摆","安装","32","104","JOUR 4","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0029","fatiguer","fatigue","使疲倦; 拌沙拉","疲劳; 使疲劳","33","80","JOUR 4","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0030","entraîner","entrain","训练; 带动; 引领","兴致","34","73","JOUR 4","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0031","caution","caution","担保; 保证; 保释金; 押金","谨慎","35","33","JOUR 4","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0032","répliquer","reply","反驳; 回嘴","回复","35","165","JOUR 4","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0033","classe","class","班级; 教室; 年龄组","班级","36","38","JOUR 4","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0034","science","science","知识; 技能; 科学","科学","36","174","JOUR 4","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0035","herbe","herb","草本植物; 香草; 野餐; 杂草","香草","39","95","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0036","estimer","estimate","尊敬; 认为; 考虑","估计","39","74","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0037","four","four","烤炉; 火炉","四","41","85","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0038","complémentaire","complimentary","补充的; 附加的","赞美的","41","41","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0039","villa","villa","独立住宅; 花园小别墅","别墅","41","199","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0040","gentil","gentle","好心的; 友善的; 可爱的","温和的","41","90","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0041","disposer","dispose","安排; 布置; 使准备; 可供使用","处理; 处置","42","65","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0042","découvrir","discover","发现; 揭开; 脱帽露头","发现","42","55","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0043","déposer","deposit","放下; 罢免; 作证","存款; 押金","42","59","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0044","remonter","remount","重新上升; 补货; 上发条; 使振作","重新装配; 再骑上","42","164","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0045","usage","usage","使用; 惯例; 习俗; 穿用磨损","用法; 使用","42","196","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0046","radio","radio","无线电报务员; 无线电留言","收音机; 无线电","43","157","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0047","fête","fete","节日; 庆典; 假期; 生日庆祝; 展览会","庆祝会","43","80","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
"LEXI_BRIDGE_FF4-0048","chef","chef","厨师长; 首领; 站长; 头","厨师","44","36","JOUR 5","LEXI_BRIDGE_FF4","FF4_V1","AUTO_SOURCE_VERIFIED"
