english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
fabric,fabrique,布料；工厂,false_friend,0.07,0.94,high,4,英语布料义常误导法语工厂义,llm_v2_human_reviewed,true,false-friend|high-risk|industry,ready,pending,cloth material,factory,布料；工厂,This fabric feels soft.,Cette fabrique produit du verre.,这种布料很柔软；这家工厂生产玻璃。,high
assist,assister,帮助；出席,false_friend,0.09,0.92,high,4,英语帮助义会误导法语出席义,llm_v2_human_reviewed,true,false-friend|high-risk|verb,ready,pending,to help,to attend,帮助；出席,They assist new students.,J'assiste à la réunion.,他们帮助新生；我出席会议。,high
demand,demander,要求；询问,false_friend,0.14,0.89,medium,4,英语要求义易误投到法语询问义,llm_v2_human_reviewed,true,false-friend|b1-b2|verb,ready,pending,to require,to ask,要求；询问,They demand better pay.,Je demande une explication.,他们要求更高工资；我请求一个解释。,medium
pretend,prétendre,假装；声称,false_friend,0.10,0.90,high,4,英语假装义与法语声称义错位,llm_v2_human_reviewed,true,false-friend|high-risk|verb,ready,pending,to act as if,to claim,假装；声称,He pretended to sleep.,Il prétend connaître la réponse.,他假装睡着了；他声称知道答案。,high
caution,caution,谨慎；押金,false_friend,0.06,0.95,high,5,同形高风险词对,llm_v2_human_reviewed,true,false-friend|high-risk|core,ready,pending,to be careful,deposit or guarantee,谨慎；押金,Use caution on the stairs.,La caution sera remboursée demain.,上下楼梯要小心；押金会在明天退还。,high
injury,injure,伤害；侮辱,false_friend,0.04,0.96,high,5,词形近但名词义完全错位,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,physical harm,insult,伤害；侮辱,The injury was serious.,Cette injure était gratuite.,这次受伤很严重；这句侮辱毫无缘由。,high
idiom,idiome,习语；语言,false_friend,0.12,0.88,medium,4,英语习语义会误导法语语言义,llm_v2_human_reviewed,true,false-friend|b2|language,ready,pending,fixed expression,language or dialect,习语；语言,This idiom is hard to translate.,Cet idiome a disparu.,这个习语很难翻译；这种语言已经消失了。,medium
attend,attendre,出席；等待,false_friend,0.05,0.97,high,5,最典型的动词假朋友之一,llm_v2_human_reviewed,true,false-friend|high-risk|verb,ready,pending,to be present,to wait,出席；等待,Many students attend the lecture.,Nous attendons le bus.,许多学生出席讲座；我们在等公交车。,high
realize,réaliser,意识到；实现,false_friend,0.18,0.87,high,4,英语意识到义会误导法语完成义,llm_v2_human_reviewed,true,false-friend|high-risk|verb,ready,pending,to become aware,to carry out,意识到；实现,I realized my mistake.,Elle réalise un vieux rêve.,我意识到了错误；她实现了一个旧梦想。,high
resume,résumer,简历；概括,false_friend,0.03,0.97,high,5,英语名词义与法语动词义完全不同,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,CV summary of experience,to summarize,简历；概括,Her resume is concise.,Pouvez vous résumer ce chapitre.,她的简历很简洁；你能概括这一章吗。,high
