english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
coin,coin,硬币；角落,false_friend,0.10,0.92,high,4,英法同形但核心义项错位,llm_v2_human_reviewed,true,false-friend|high-risk|core,ready,pending,a piece of money,corner,硬币；角落,I found a coin on the floor.,Il attend au coin de la rue.,我在地上捡到一枚硬币；他在街角等。,high
actually,actuellement,实际上；目前,false_friend,0.18,0.88,high,4,英文熟词义会干扰法语当前义,llm_v2_human_reviewed,true,false-friend|high-risk|core,ready,pending,in fact,at the present time,实际上；目前,Actually I do not agree.,Actuellement il habite à Paris.,实际上我不同意；目前他住在巴黎。,high
library,librairie,图书馆；书店,false_friend,0.08,0.94,high,4,教学中非常典型的假朋友,llm_v2_human_reviewed,true,false-friend|high-frequency|core,ready,pending,a place where people borrow books,bookshop,图书馆；书店,The library closes at six.,La librairie ouvre à neuf heures.,图书馆六点关门；书店九点开门。,high
deception,déception,欺骗；失望,false_friend,0.05,0.95,high,5,拼写接近但语义差异很大,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,deliberate cheating,disappointment,欺骗；失望,The deception was deliberate.,La déception était profonde.,这种欺骗是故意的；这种失望很深。,high
location,location,地点；租赁,false_friend,0.12,0.90,medium,4,英语地点义容易误导法语租赁义,llm_v2_human_reviewed,true,false-friend|high-risk|noun,ready,pending,a place,rental,地点；租赁,The location is convenient.,La location coûte cher.,这个地点很方便；这项租赁很贵。,medium
pain,pain,疼痛；面包,false_friend,0.00,0.97,high,4,同形高风险词对,llm_v2_human_reviewed,true,false-friend|high-risk|a1-a2,ready,pending,physical suffering,bread,疼痛；面包,The pain lasted all night.,Le pain est encore chaud.,这种疼痛持续了一整夜；面包还是热的。,high
stage,stage,舞台；阶段；实习,false_friend,0.14,0.91,medium,4,法语常用义为实习而非舞台,llm_v2_human_reviewed,true,false-friend|high-risk|education,ready,pending,a platform or phase,internship,舞台；阶段；实习,She walked onto the stage.,Il commence un stage en juin.,她走上舞台；他六月开始实习。,medium
lecture,lecture,讲座；阅读,false_friend,0.09,0.93,medium,4,同形词但核心义明显错位,llm_v2_human_reviewed,true,false-friend|high-risk|education,ready,pending,a formal talk,reading,讲座；阅读,The lecture starts at ten.,La lecture de ce texte est difficile.,讲座十点开始；这篇文章阅读起来很难。,medium
eventually,éventuellement,最终；可能,false_friend,0.11,0.90,high,5,英语最终义强烈干扰法语可能义,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,in the end,possibly if necessary,最终；可能,Eventually they agreed.,Éventuellement nous pourrons reporter la réunion.,最终他们同意了；必要时我们可以推迟会议。,high
college,collège,大学；初中,false_friend,0.12,0.91,high,4,教育语境里最常见的误判之一,llm_v2_human_reviewed,true,false-friend|high-risk|education,ready,pending,higher education institution,middle school,大学；初中,She wants to go to college.,Mon fils entre au collège cette année.,她想上大学；我儿子今年上初中。,high
preservative,préservatif,防腐剂；避孕套,false_friend,0.00,0.99,high,5,经典高风险假朋友,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,substance that keeps food fresh,condom,防腐剂；避孕套,This jam has no preservative.,Le préservatif est indispensable.,这种果酱不含防腐剂；避孕套是必需的。,high
fabric,fabrique,布料；工厂,false_friend,0.07,0.94,high,4,英语布料义常误导法语工厂义,llm_v2_human_reviewed,true,false-friend|high-risk|industry,ready,pending,cloth material,factory,布料；工厂,This fabric feels soft.,Cette fabrique produit du verre.,这种布料很柔软；这家工厂生产玻璃。,high
assist,assister,帮助；出席,false_friend,0.09,0.92,high,4,英语帮助义会误导法语出席义,llm_v2_human_reviewed,true,false-friend|high-risk|verb,ready,pending,to help,to attend,帮助；出席,They assist new students.,J'assiste à la réunion.,他们帮助新生；我出席会议。,high
pretend,prétendre,假装；声称,false_friend,0.10,0.90,high,4,英语假装义与法语声称义错位,llm_v2_human_reviewed,true,false-friend|high-risk|verb,ready,pending,to act as if,to claim,假装；声称,He pretended to sleep.,Il prétend connaître la réponse.,他假装睡着了；他声称知道答案。,high
caution,caution,谨慎；押金,false_friend,0.06,0.95,high,5,同形高风险词对,llm_v2_human_reviewed,true,false-friend|high-risk|core,ready,pending,to be careful,deposit or guarantee,谨慎；押金,Use caution on the stairs.,La caution sera remboursée demain.,上下楼梯要小心；押金会在明天退还。,high
injury,injure,伤害；侮辱,false_friend,0.04,0.96,high,5,词形近但名词义完全错位,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,physical harm,insult,伤害；侮辱,The injury was serious.,Cette injure était gratuite.,这次受伤很严重；这句侮辱毫无缘由。,high
attend,attendre,出席；等待,false_friend,0.05,0.97,high,5,最典型的动词假朋友之一,llm_v2_human_reviewed,true,false-friend|high-risk|verb,ready,pending,to be present,to wait,出席；等待,Many students attend the lecture.,Nous attendons le bus.,许多学生出席讲座；我们在等公交车。,high
resume,résumer,简历；概括,false_friend,0.03,0.97,high,5,英语名词义与法语动词义完全不同,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,CV summary of experience,to summarize,简历；概括,Her resume is concise.,Pouvez vous résumer ce chapitre.,她的简历很简洁；你能概括这一章吗。,high
bless,blesser,祝福；伤害,false_friend,0.00,0.99,high,5,高风险同形近似动词,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,to sanctify,to hurt,祝福；伤害,They blessed the child.,Tu peux le blesser avec ces mots.,他们祝福了这个孩子；这些话会伤害他。,high
crayon,crayon,蜡笔；铅笔,false_friend,0.06,0.95,high,4,同形但课堂常用义错位,llm_v2_human_reviewed,true,false-friend|high-risk|classroom,ready,pending,colored wax pencil,pencil,蜡笔；铅笔,The child drew with a crayon.,J'écris au crayon.,孩子用蜡笔画画；我用铅笔写字。,high
eventual,éventuel,最终的；可能的,false_friend,0.08,0.94,high,5,英语最终义与法语可能义差异显著,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,final or ultimate,possible if needed,最终的；可能的,The eventual winner smiled.,Une solution éventuelle existe.,最终获胜者笑了；存在一个可能的解决方案。,high
actual,actuel,实际的；当前的,false_friend,0.15,0.90,high,4,英语实际义会被法语当前义干扰,llm_v2_human_reviewed,true,false-friend|high-risk|core,ready,pending,real,current,实际的；当前的,The actual cost is lower.,Le problème actuel est grave.,实际成本更低；当前的问题很严重。,high
suit,suite,套装；后续,false_friend,0.07,0.92,medium,4,英语套装义与法语后续义差异大,llm_v2_human_reviewed,true,false-friend|high-risk|noun,ready,pending,set of matching clothes,continuation or sequence,套装；后续,He bought a new suit.,La suite arrivera demain.,他买了一套新西装；后续内容明天会到。,medium
