english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
apology,apologie,道歉；辩护,false_friend,0.06,0.96,high,5,英语道歉义会误导法语辩护义,llm_v2_human_reviewed,true,false-friend|high-risk|media,ready,pending,statement saying sorry,defense or strong praise of a person or idea,道歉；辩护,He sent an apology to the editor.,Ce livre est une apologie du dialogue.,他向编辑发了一封道歉信；这本书是对对话的辩护。,high
arm,arme,手臂；武器,false_friend,0.03,0.98,high,4,英语身体义会误导法语武器义,llm_v2_human_reviewed,true,false-friend|high-risk|daily-life,ready,pending,upper limb of the body,weapon used for attack or defense,手臂；武器,She hurt her arm in class.,La police a saisi une arme.,她在课上伤了手臂；警察查获了一件武器。,high
affection,affection,喜爱；疾病,false_friend,0.08,0.95,high,5,英语感情义会误导法语疾病义,llm_v2_human_reviewed,true,false-friend|high-risk|health,ready,pending,gentle feeling of love,medical condition or illness,喜爱；疾病,Children need affection at home.,Cette affection touche surtout les poumons.,孩子在家需要关爱；这种疾病主要影响肺部。,high
assume,assumer,假定；承担,false_friend,0.12,0.92,high,5,英语猜定义会误导法语承担义,llm_v2_human_reviewed,true,false-friend|high-risk|work,ready,pending,to suppose without proof,to take responsibility for something,假定；承担,I assume the meeting starts at nine.,Elle doit assumer cette erreur.,我假定会议九点开始；她必须承担这个错误。,high
convenient,convenir,方便的；适合,false_friend,0.15,0.90,high,4,英语方便义会误导法语适合义,llm_v2_human_reviewed,true,false-friend|high-risk|daily-life,ready,pending,easy to use or reach,to suit or be appropriate,方便的；适合,Online payment is convenient for parents.,Cette heure me convient bien.,线上支付对家长很方便；这个时间很适合我。,high
education,éducation,教育；教养,false_friend,0.21,0.88,medium,4,英语学校教育义会误导法语教养义,llm_v2_human_reviewed,true,false-friend|high-risk|school,ready,pending,schooling or formal learning,upbringing and manners,教育；教养,Education shapes future jobs.,Ce garçon manque d'éducation.,教育塑造未来职业；这个男孩缺乏教养。,high
entree,entrée,主菜；前菜,false_friend,0.10,0.94,high,5,餐馆语境里英语主菜义会误导法语前菜义,llm_v2_human_reviewed,true,false-friend|high-risk|daily-life,ready,pending,main dish in a meal,starter served before the main course,主菜；前菜,My entree was chicken with rice.,L'entrée arrive avant le plat principal.,我的主菜是鸡肉配米饭；前菜会在主菜前上桌。,high
etiquette,étiquette,礼仪；标签,false_friend,0.07,0.95,high,4,英语礼仪义会误导法语标签义,llm_v2_human_reviewed,true,false-friend|high-risk|shopping,ready,pending,polite social manners,label attached to a product,礼仪；标签,School teaches basic etiquette.,L'étiquette du prix manque.,学校会教基本礼仪；价格标签不见了。,high
expertise,expertise,专长；鉴定报告,false_friend,0.14,0.89,medium,5,英语能力义会误导法语鉴定义,llm_v2_human_reviewed,true,false-friend|high-risk|work,ready,pending,special skill or knowledge,expert assessment or appraisal report,专长；鉴定报告,Her expertise helped the team win.,L'expertise sera remise demain.,她的专长帮助团队获胜；鉴定报告会在明天提交。,high
expose,exposé,揭露；报告,false_friend,0.05,0.97,high,5,英语揭露义会误导法语课堂报告义,llm_v2_human_reviewed,true,false-friend|high-risk|classroom,ready,pending,to reveal hidden facts,presentation or report,揭露；报告,The article will expose the fraud.,Son exposé dure dix minutes.,这篇文章将揭露这场欺诈；他的报告持续十分钟。,high
fabrication,fabrication,捏造；制造,false_friend,0.08,0.95,high,5,英语捏造义会误导法语制造义,llm_v2_human_reviewed,true,false-friend|high-risk|media,ready,pending,invented lie or false story,manufacturing process or production,捏造；制造,The rumor was a pure fabrication.,La fabrication commence lundi.,那个传言完全是捏造；制造会在周一开始。,high
ignore,ignorer,忽视；不知道,false_friend,0.06,0.96,high,4,英语忽略义会误导法语不知道义,llm_v2_human_reviewed,true,false-friend|high-risk|classroom,ready,pending,to pay no attention to,to not know,忽视；不知道,Please do not ignore the warning.,J'ignore son adresse exacte.,请不要忽视这个警告；我不知道他的确切地址。,high
inscription,inscription,题字；注册,false_friend,0.11,0.91,high,5,英语刻字义会误导法语报名义,llm_v2_human_reviewed,true,false-friend|high-risk|school,ready,pending,words written on stone or metal,registration or enrollment,题字；注册,The inscription is hard to read.,L'inscription au cours ferme demain.,那段题字很难辨认；课程报名明天截止。,high
journey,journée,旅行；一天,false_friend,0.04,0.98,high,4,英语旅行义会误导法语一天义,llm_v2_human_reviewed,true,false-friend|high-risk|travel,ready,pending,trip from one place to another,day or daytime period,旅行；一天,The train journey was long.,Bonne journée à toute la classe.,这趟火车旅行很长；祝全班今天愉快。,high
magazine,magasin,杂志；商店,false_friend,0.03,0.98,high,4,英语媒体义会误导法语商店义,llm_v2_human_reviewed,true,false-friend|high-risk|media,ready,pending,periodical publication,store or shop,杂志；商店,She bought a science magazine.,Le magasin ferme à dix neuf heures.,她买了一本科学杂志；商店十九点关门。,high
mansion,maison,豪宅；房子,false_friend,0.17,0.88,medium,4,英语豪宅义会误导法语普通房子义,llm_v2_human_reviewed,true,false-friend|high-risk|family,ready,pending,very large luxurious house,house or home,豪宅；房子,The actor lives in a mansion.,La maison est près de l'école.,那位演员住在豪宅里；房子在学校附近。,high
physician,physicien,内科医生；物理学家,false_friend,0.03,0.98,high,5,英语医生义会误导法语物理学家义,llm_v2_human_reviewed,true,false-friend|high-risk|school,ready,pending,medical doctor,physicist,内科医生；物理学家,The physician checked my lungs.,Le physicien explique la lumière.,那位内科医生检查了我的肺；那位物理学家在解释光。,high
prejudice,préjudice,偏见；损害,false_friend,0.12,0.92,medium,5,英语成见义会误导法语损失义,llm_v2_human_reviewed,true,false-friend|high-risk|media,ready,pending,unfair opinion about a group,harm or damage suffered,偏见；损害,Prejudice hurts classroom trust.,Le retard cause un préjudice réel.,偏见会伤害课堂信任；这次延误造成了真实损害。,high
publicity,publicité,公众关注；广告,false_friend,0.09,0.94,high,4,英语曝光度义会误导法语广告义,llm_v2_human_reviewed,true,false-friend|high-risk|media,ready,pending,public attention from the media,advertisement,公众关注；广告,The scandal brought free publicity.,Cette publicité passe avant le film.,这场丑闻带来了免费曝光；这则广告在电影前播放。,high
support,supporter,支持；忍受,false_friend,0.13,0.91,high,4,英语支持义会误导法语忍受义,llm_v2_human_reviewed,true,false-friend|high-risk|work,ready,pending,to help or back someone,to tolerate or endure,支持；忍受,I support the new rule.,Je ne peux plus supporter ce bruit.,我支持这项新规定；我再也受不了这种噪音了。,high
vacancy,vacances,职位空缺；假期,false_friend,0.05,0.97,high,4,英语空缺义会误导法语假期义,llm_v2_human_reviewed,true,false-friend|high-risk|work,ready,pending,empty job or room available,holidays or vacation,职位空缺；假期,There is a vacancy in the office.,Les vacances commencent vendredi.,办公室里有一个职位空缺；假期从周五开始。,high
versatile,versatile,多才多艺的；反复无常的,false_friend,0.11,0.92,medium,5,英语灵活义会误导法语反复义,llm_v2_human_reviewed,true,false-friend|high-risk|work,ready,pending,able to do many different things,fickle and changeable,多才多艺的；反复无常的,She is a versatile designer.,Son humeur est trop versatile.,她是一位多才多艺的设计师；他的情绪太反复无常了。,high
raisin,raisin,葡萄干；葡萄,false_friend,0.16,0.89,high,4,英语葡萄干义会误导法语葡萄义,llm_v2_human_reviewed,true,false-friend|high-risk|classroom,ready,pending,dried grape,grape fruit,葡萄干；葡萄,The cookie has raisins in it.,Le raisin est très sucré cette année.,这块饼干里有葡萄干；今年的葡萄很甜。,high
