english_word,french_word,chinese_gloss,lexical_pair_type,semantic_overlap_score,false_friend_risk,default_context_support,difficulty_level,notes,source,active,tags,knowledge_status,embedding_status,sense_english_definition,sense_french_definition,sense_chinese_definition,example_english,example_french,example_chinese,example_context_support
coin,coin,硬币；角落,false_friend,0.10,0.92,high,4,英法同形但核心义项错位,llm_v2_human_reviewed,true,false-friend|high-risk|core,ready,pending,a piece of money,corner,硬币；角落,I found a coin on the floor.,Il attend au coin de la rue.,我在地上捡到一枚硬币；他在街角等。,high
actually,actuellement,实际上；目前,false_friend,0.18,0.88,high,4,英文熟词义会干扰法语当前义,llm_v2_human_reviewed,true,false-friend|high-risk|core,ready,pending,in fact,at the present time,实际上；目前,Actually I do not agree.,Actuellement il habite à Paris.,实际上我不同意；目前他住在巴黎。,high
library,librairie,图书馆；书店,false_friend,0.08,0.94,high,4,教学中非常典型的假朋友,llm_v2_human_reviewed,true,false-friend|high-frequency|core,ready,pending,a place where people borrow books,bookshop,图书馆；书店,The library closes at six.,La librairie ouvre à neuf heures.,图书馆六点关门；书店九点开门。,high
deception,déception,欺骗；失望,false_friend,0.05,0.95,high,5,拼写接近但语义差异很大,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,deliberate cheating,disappointment,欺骗；失望,The deception was deliberate.,La déception était profonde.,这种欺骗是故意的；这种失望很深。,high
sensible,sensible,理智的；敏感的,false_friend,0.15,0.89,medium,4,英语理智义容易负迁移到法语,llm_v2_human_reviewed,true,false-friend|b1-b2|adjective,ready,pending,reasonable and practical,sensitive,理智的；敏感的,That was a sensible choice.,Elle est sensible au bruit.,那是个理智的选择；她对噪音很敏感。,medium
location,location,地点；租赁,false_friend,0.12,0.90,medium,4,英语地点义容易误导法语租赁义,llm_v2_human_reviewed,true,false-friend|b1-b2|noun,ready,pending,a place,rental,地点；租赁,The location is convenient.,La location coûte cher.,这个地点很方便；这项租赁很贵。,medium
pain,pain,疼痛；面包,false_friend,0.00,0.97,high,4,同形高风险词对,llm_v2_human_reviewed,true,false-friend|high-risk|a1-a2,ready,pending,physical suffering,bread,疼痛；面包,The pain lasted all night.,Le pain est encore chaud.,这种疼痛持续了一整夜；面包还是热的。,high
stage,stage,舞台；阶段；实习,false_friend,0.14,0.91,medium,4,法语常用义为实习而非舞台,llm_v2_human_reviewed,true,false-friend|b1-b2|education,ready,pending,a platform or phase,internship,舞台；阶段；实习,She walked onto the stage.,Il commence un stage en juin.,她走上舞台；他六月开始实习。,medium
lecture,lecture,讲座；阅读,false_friend,0.09,0.93,medium,4,同形词但核心义明显错位,llm_v2_human_reviewed,true,false-friend|b1-b2|education,ready,pending,a formal talk,reading,讲座；阅读,The lecture starts at ten.,La lecture de ce texte est difficile.,讲座十点开始；这篇文章阅读起来很难。,medium
eventually,éventuellement,最终；可能,false_friend,0.11,0.90,high,5,英语最终义强烈干扰法语可能义,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,in the end,possibly if necessary,最终；可能,Eventually they agreed.,Éventuellement nous pourrons reporter la réunion.,最终他们同意了；必要时我们可以推迟会议。,high
college,collège,大学；初中,false_friend,0.12,0.91,high,4,教育语境里最常见的误判之一,llm_v2_human_reviewed,true,false-friend|high-risk|education,ready,pending,higher education institution,middle school,大学；初中,She wants to go to college.,Mon fils entre au collège cette année.,她想上大学；我儿子今年上初中。,high
parent,parent,父亲或母亲；亲属,false_friend,0.22,0.86,medium,4,英语直系家长义会误导法语亲属义,llm_v2_human_reviewed,true,false-friend|family|b1-b2,ready,pending,father or mother,relative,父亲或母亲；亲属,Every parent worries about school.,Un parent lui a téléphoné.,每个父母都会担心上学；一位亲属给他打了电话。,medium
sympathetic,sympathique,同情的；讨人喜欢的,false_friend,0.16,0.87,medium,4,英语同情义与法语友好义错位,llm_v2_human_reviewed,true,false-friend|adjective|b2,ready,pending,showing compassion,nice and likable,同情的；讨人喜欢的,She was sympathetic to his problem.,Il est très sympathique avec tout le monde.,她同情他的问题；他对每个人都很友好。,medium
preservative,préservatif,防腐剂；避孕套,false_friend,0.00,0.99,high,5,经典高风险假朋友,llm_v2_human_reviewed,true,false-friend|high-risk|advanced,ready,pending,substance that keeps food fresh,condom,防腐剂；避孕套,This jam has no preservative.,Le préservatif est indispensable.,这种果酱不含防腐剂；避孕套是必需的。,high
comprehensive,compréhensif,全面的；善解人意的,false_friend,0.18,0.86,medium,4,英文全面义和法语体谅义常被混淆,llm_v2_human_reviewed,true,false-friend|b2|adjective,ready,pending,complete and detailed,understanding and compassionate,全面的；善解人意的,We need a comprehensive report.,Elle a été très compréhensive.,我们需要一份全面的报告；她非常体谅人。,medium
table,table,桌子,cognate,0.95,0.08,low,1,高频基础同源词,llm_v2_human_reviewed,true,cognate|high-frequency|core,ready,pending,a piece of furniture with a flat top,table,桌子,The books are on the table.,Les livres sont sur la table.,书在桌子上。,medium
important,important,重要的,cognate,0.97,0.06,low,1,稳定正迁移词对,llm_v2_human_reviewed,true,cognate|high-frequency|core,ready,pending,of great significance,important,重要的,It is an important decision.,C'est une décision importante.,这是一个重要决定。,medium
nation,nation,国家；民族,cognate,0.94,0.12,low,2,拼写和意义高度重合,llm_v2_human_reviewed,true,cognate|social|b1,ready,pending,a country or people sharing identity,nation,国家；民族,The nation faced a crisis.,La nation défend ses valeurs.,这个国家面临危机；这个民族捍卫自己的价值观。,medium
culture,culture,文化,cognate,0.96,0.07,low,1,适合正迁移强化,llm_v2_human_reviewed,true,cognate|high-frequency|a2,ready,pending,the ideas and customs of a society,culture,文化,Culture shapes behavior.,La culture influence le langage.,文化塑造行为；文化影响语言。,medium
animal,animal,动物,cognate,0.98,0.04,low,1,基础高频共享词义,llm_v2_human_reviewed,true,cognate|a1|core,ready,pending,living creature,animal,动物,The animal needs water.,Cet animal vit dans la forêt.,这只动物需要水；这种动物生活在森林里。,medium
minute,minute,分钟,cognate,0.99,0.03,low,1,词形和词义高度一致,llm_v2_human_reviewed,true,cognate|a1|time,ready,pending,sixty seconds,minute,分钟,Wait a minute.,Attends une minute.,等一分钟。,low
normal,normal,正常的,cognate,0.97,0.05,low,1,非常稳定的基础词对,llm_v2_human_reviewed,true,cognate|a1|core,ready,pending,usual or expected,normal,正常的,This is normal.,C'est normal.,这是正常的。,low
public,public,公共的；公众,cognate,0.95,0.08,low,2,名词和形容词层面都较稳定,llm_v2_human_reviewed,true,cognate|b1|core,ready,pending,open to everyone or the audience,public,公共的；公众,Public transport is crowded.,Le public applaudit longtemps.,公共交通很拥挤；观众鼓掌了很久。,medium
final,final,最后的；最终的,cognate,0.96,0.07,low,1,适合基础正迁移训练,llm_v2_human_reviewed,true,cognate|a2|core,ready,pending,last or concluding,final,最后的；最终的,The final decision was fair.,La décision finale était juste.,最终决定是公正的。,medium
original,original,原始的；原创的,cognate,0.95,0.09,low,2,两语共享度较高,llm_v2_human_reviewed,true,cognate|b1|core,ready,pending,first or authentic,original,原始的；原创的,The original plan worked.,Le texte original est court.,原始方案奏效了；原文很短。,medium
possible,possible,可能的,cognate,0.98,0.04,low,1,高频稳定同源词,llm_v2_human_reviewed,true,cognate|a1|core,ready,pending,able to happen,possible,可能的,Everything is possible.,Tout est possible.,一切皆有可能。,low
dialogue,dialogue,对话,cognate,0.96,0.07,low,1,教学和学术场景都常见,llm_v2_human_reviewed,true,cognate|a2|communication,ready,pending,conversation between people,dialogue,对话,The dialogue was brief.,Le dialogue reste ouvert.,对话很简短；对话仍然开放。,medium
patient,patient,病人；耐心的,cognate,0.93,0.12,medium,2,名词和形容词义项都较稳定,llm_v2_human_reviewed,true,cognate|b1|health,ready,pending,sick person or calm person,patient,病人；耐心的,The patient remained calm.,Le patient attend en silence.,病人保持冷静；病人安静地等待。,medium
tradition,tradition,传统,cognate,0.97,0.05,low,1,适合词义快速识别,llm_v2_human_reviewed,true,cognate|a2|culture,ready,pending,custom passed down over time,tradition,传统,Tradition matters here.,La tradition reste vivante.,传统在这里很重要；传统依然鲜活。,medium
information,information,信息,cognate,0.98,0.04,low,1,基础学术与日常高频词,llm_v2_human_reviewed,true,cognate|a2|academic,ready,pending,facts or knowledge,information,信息,This information is useful.,Cette information est utile.,这条信息很有用。,medium
journal,journal,期刊；日报；日志,partial_cognate,0.46,0.62,medium,3,共享书面记录概念但常用义分化,llm_v2_human_reviewed,true,partial-cognate|media|core,ready,pending,academic magazine or diary,newspaper,期刊；日报；日志,She published in a journal.,Il lit le journal chaque matin.,她在期刊上发表文章；他每天早上读报。,medium
chance,chance,机会；运气,partial_cognate,0.56,0.48,medium,3,共享机会义但法语运气义更常见,llm_v2_human_reviewed,true,partial-cognate|b1|core,ready,pending,opportunity or possibility,luck or opportunity,机会；运气,There is a chance of rain.,Tu as de la chance aujourd'hui.,今天可能下雨；你今天运气很好。,medium
chef,chef,主厨；负责人,partial_cognate,0.58,0.44,medium,3,英语多指主厨而法语可泛指负责人,llm_v2_human_reviewed,true,partial-cognate|workplace|core,ready,pending,head cook,leader or head cook,主厨；负责人,The chef prepared dinner.,Le chef du service arrive.,主厨准备了晚餐；部门负责人到了。,medium
formidable,formidable,令人敬畏的；极好的,partial_cognate,0.42,0.66,medium,4,两语都表示强烈评价但方向不同,llm_v2_human_reviewed,true,partial-cognate|adjective|advanced,ready,pending,intimidating or impressive,excellent or impressive,令人敬畏的；极好的,They faced a formidable opponent.,C'est une idée formidable.,他们遇到了一个强劲对手；这是个极好的主意。,medium
figure,figure,数字；人物；面孔,partial_cognate,0.40,0.68,medium,3,共享外形概念但常用义差异明显,llm_v2_human_reviewed,true,partial-cognate|noun|b2,ready,pending,number or important person,face or shape,数字；人物；面孔,The final figure was lower.,Sa figure semble fatiguée.,最终数字更低；她的脸看起来很疲惫。,medium
issue,issue,问题；出口,partial_cognate,0.30,0.78,high,4,同形但常用义强烈错位,llm_v2_human_reviewed,true,partial-cognate|high-risk|advanced,ready,pending,problem or matter,exit,问题；出口,Climate change is a major issue.,Ils cherchent une issue.,气候变化是一个重大问题；他们在寻找出口。,high
center,centre,中心,orthographic_similar,0.96,0.10,low,1,主要差异来自拼写形式,llm_v2_human_reviewed,true,orthographic|spelling|core,ready,pending,middle point or hub,centre,中心,The center is busy today.,Le centre ferme à dix-huit heures.,中心今天很忙；中心十八点关门。,medium
program,programme,计划；节目,orthographic_similar,0.95,0.10,low,1,美式和法式拼写差异明显,llm_v2_human_reviewed,true,orthographic|spelling|core,ready,pending,planned series or schedule,programme,计划；节目,The program starts tonight.,Le programme commence ce soir.,节目今晚开始。,low
catalog,catalogue,目录；目录册,orthographic_similar,0.94,0.11,low,2,拼写相近且意义稳定,llm_v2_human_reviewed,true,orthographic|spelling|b1,ready,pending,ordered list of items,catalogue,目录；目录册,I checked the catalog online.,Le catalogue contient cent produits.,我在线查看了目录；目录册里有一百种产品。,medium
theater,théâtre,剧院；戏剧,orthographic_similar,0.94,0.08,low,1,主要是拼写和重音差异,llm_v2_human_reviewed,true,orthographic|spelling|core,ready,pending,place for plays or drama,théâtre,剧院；戏剧,The theater is downtown.,Le théâtre ouvre à vingt heures.,剧院在市中心；剧院二十点开门。,medium
